278,INCY,-3.987
279,GNRC,-4.151
280,GEHC,-4.484
281,EMR,-4.579
282,DVA,-4.672
283,INTC,-5.693
284,FTV,-5.892
285,CDAY,-6.055
286,BIIB,-6.08
287,ENPH,-6.815
288,CTSH,-7.028
289,AIG,-7.084
290,PFG,-7.649
291,LYB,-7.655
292,FMC,-7.941
293,HPE,-8.253
294,NWS,-8.337
295,NWSA,-8.468
296,NTAP,-8.866
297,MTB,-8.973
298,MRNA,-9.0
299,FIS,-9.057
300,NRG,-9.581
301,FFIV,-9.69
302,BK,-10.034
303,KVUE,-10.239
304,IP,-10.534
305,KMI,-10.535
306,FDX,-10.989
307,KHC,-11.143
308,ALB,-11.172
309,HAS,-11.398
310,MMM,-12.671
311,AES,-13.008
312,DFS,-13.264
313,FOXA,-13.9
314,FOX,-13.993
315,DD,-14.5
316,BAC,-14.963
317,NTRS,-15.556
318,PEAK,-15.653
319,GE,-15.823
320,HBAN,-16.434
321,BBY,-16.652
322,DOW,-17.087
323,FITB,-17.227
324,ALGN,-17.681
325,FANG,-18.65
326,FRT,-18.69
327,F,-18.767
328,LUV,-18.839
329,FCX,-19.677
330,APTV,-20.027
331,IFF,-20.117
332,ILMN,-20.449
333,KIM,-20.657
334,OGN,-20.743
335,DIS,-20.8
336,BWA,-21.373
337,COF,-21.925
338,HST,-22.01
339,BEN,-22.568
340,BXP,-22.919
341,CTLT,-23.292
342,BKR,-24.737
343,OKE,-25.026
344,EQT,-25.231
345,LVS,-25.362
346,EMN,-25.42
347,KLG,-25.913
348,CFG,-26.671
349,EOG,-27.151
350,DAL,-27.296
351,GM,-27.587
352,KMX,-28.161
353,CMA,-29.274
354,KEY,-29.474
355,MHK,-31.657
356,C,-32.655
357,MGM,-32.772
358,BA,-33.011
359,CZR,-33.28
360,EXPE,-33.676
361,MTCH,-34.26
362,IVZ,-34.747
363,BBWI,-35.725
364,ALK,-36.2
365,DVN,-38.393
366,MOS,-39.248
367,ABNB,-40.055
368,ETSY,-42.55
369,HAL,-46.988
370,AAL,-48.9
371,MRO,-49.757
372,PCG,-51.094
373,OXY,-53.603
374,CCL,-56.096
375,PARA,-56.805
376,NCLH,-62.88
377,T,nan
378,TMUS,48.526
379,STE,43.39
380,POOL,41.289
381,REGN,39.795
382,SNPS,37.807
383,PWR,34.742
384,ROL,34.208
385,SPGI,33.978
386,SHW,32.057
387,SO,29.073
388,ROP,28.865
389,TDY,27.606
390,SYK,25.61
391,TDG,24.661
392,RMD,24.469
393,PSA,24.432
394,RJF,23.071
395,TECH,18.723
396,SBUX,18.102
397,PTC,18.098
398,SRE,17.962
399,TER,17.812
400,SBAC,17.632
401,SJM,17.169
402,SNA,16.454
403,STLD,15.721
404,STZ,14.059
405,ROK,6.899
406,TEL,6.496
407,RVTY,5.062
408,ROST,4.628
409,STX,3.063
410,SWKS,2.557
411,QCOM,0.665
412,PPG,-0.246
413,SCHW,-0.526
414,PPL,-1.437
415,RTX,-3.644
416,SEDG,-4.28
417,TAP,-5.154
418,TFX,-5.96
419,RHI,-6.044
420,PNC,-6.837
421,SYY,-9.282
422,REG,-11.817
423,RF,-14.086
424,PSX,-15.206
425,PRU,-18.008
426,QRVO,-20.269
427,TFC,-20.635
428,PXD,-20.908
429,SEE,-22.379
430,PYPL,-27.659
431,SWK,-27.701
432,RL,-30.487
433,SYF,-31.453
434,STT,-32.002
435,SPG,-37.053
436,SLB,-40.874
437,TPR,-41.641
438,RCL,-44.796
439,UDR,nan
440,UNH,46.623
441,VRTX,45.842
442,TMO,45.799
443,VZ,nan
444,WRB,44.806
445,WM,42.835
446,ZTS,41.076
447,WST,38.425
448,VMC,37.943
449,VRSK,36.374
450,TT,35.928
451,TYL,35.458
452,TSCO,34.109
453,V,33.05
454,TXN,31.769
455,WMT,30.663
456,WEC,25.028
457,XEL,24.201
458,TJX,23.939
459,TTWO,23.554
460,VRSN,22.911
461,TRV,19.025
462,WAT,14.639
463,WTW,13.678
464,YUM,12.265
465,XYL,12.233
466,UNP,9.665
467,URI,9.661
468,UPS,5.4
469,VICI,4.642
470,XOM,3.159
471,ZBRA,1.206
472,TGT,-0.331
473,WELL,-2.444
474,TSN,-3.534
475,ULTA,-5.045
476,WMB,-6.139
477,VLO,-7.783
478,TSLA,-9.0
479,ZBH,-9.589
480,TROW,-11.12
481,TXT,-11.804
482,XRAY,-13.7
483,WBA,-14.914
484,USB,-15.223
485,UHS,-17.046
486,WFC,-18.118
487,WAB,-18.492
488,VLTO,-19.938
489,WHR,-19.946
490,WY,-20.055
491,TRMB,-20.536
492,WRK,-23.626
493,ZION,-24.038
494,VTRS,-31.91
495,VTR,-32.412
496,VFC,-34.588
497,TRGP,-35.672
498,UAL,-44.536
499,WDC,-44.748
500,WYNN,-51.55
501,WBD,-52.427
502,APA,-64.487
